,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature
131,1992-12-01,105.7,23.0,502.7,90.3,3.4,25.5,24.283467741935485
132,1993-01-01,37.2,11.0,176.4,85.7,5.5,26.2,24.335752688172043
133,1993-02-01,27.0,8.0,69.2,80.5,8.5,26.7,24.083035714285714
134,1993-03-01,56.9,14.0,250.5,86.3,5.4,26.7,24.861021505376343
135,1993-04-01,56.7,20.0,283.9,84.5,6.4,27.6,25.485416666666666
136,1993-05-01,37.2,10.0,129.9,82.9,6.0,28.2,25.850403225806453
137,1993-06-01,29.4,17.0,115.5,80.9,6.2,28.5,25.831666666666667
138,1993-07-01,46.4,15.0,240.0,83.2,5.2,27.9,25.60470430107527
139,1993-08-01,53.5,11.0,106.8,79.4,7.4,28.6,25.729032258064517
140,1993-09-01,42.0,7.0,61.7,81.4,5.9,27.9,25.335
141,1993-10-01,62.7,13.0,175.5,84.3,5.2,27.5,25.36599462365591
142,1993-11-01,61.3,18.0,250.8,87.4,4.7,26.9,25.185555555555553
143,1993-12-01,67.6,19.0,308.5,87.4,4.2,26.5,24.86532258064516
144,1994-01-01,17.5,7.0,56.9,82.1,6.1,26.9,24.526344086021503
145,1994-02-01,26.3,15.0,133.5,84.5,6.4,27.0,24.952976190476193
146,1994-03-01,64.2,19.0,288.2,87.1,3.5,26.8,25.100403225806453
147,1994-04-01,46.3,15.0,154.0,84.8,5.8,27.9,25.803333333333335
148,1994-05-01,45.1,16.0,169.6,84.8,5.0,28.1,26.023655913978494
149,1994-06-01,61.1,14.0,184.7,83.5,6.0,28.1,25.833194444444448
150,1994-07-01,17.0,6.0,53.8,78.9,7.6,28.4,25.547580645161293
151,1994-08-01,15.5,12.0,45.1,80.0,6.5,28.1,25.402419354838713
152,1994-09-01,11.3,6.0,23.7,78.7,3.8,28.3,25.410833333333333
153,1994-10-01,35.4,11.0,84.7,81.5,4.5,27.9,25.294758064516127
154,1994-11-01,178.3,21.0,322.2,88.4,4.5,26.7,25.15263888888889
155,1994-12-01,133.8,18.0,425.4,85.5,5.3,26.9,24.94327956989247
156,1995-01-01,108.3,21.0,349.4,86.2,5.0,26.8,24.95779569892473
157,1995-02-01,159.3,16.0,334.0,87.5,4.9,26.5,24.79925595238095
158,1995-03-01,31.1,10.0,67.7,83.9,5.9,27.6,25.396102150537637
159,1995-04-01,73.6,16.0,242.3,85.3,5.6,27.9,25.946805555555557
160,1995-05-01,32.8,11.0,84.4,83.7,6.0,28.5,26.279301075268815
161,1995-06-01,45.0,12.0,63.7,81.9,6.6,28.9,26.335694444444446
162,1995-07-01,52.3,13.0,173.6,82.6,5.2,28.0,25.65215053763441
163,1995-08-01,37.9,21.0,211.6,85.6,4.1,27.4,25.47271505376344
164,1995-09-01,5.7,7.0,29.5,81.6,5.8,28.3,25.764305555555556
165,1995-10-01,37.1,12.0,101.1,82.8,4.7,27.8,25.463575268817205
166,1995-11-01,198.6,20.0,372.8,86.8,3.7,27.0,25.218611111111112
167,1995-12-01,55.6,20.0,302.5,86.6,3.1,26.3,24.549059139784948
168,1996-01-01,39.0,10.0,173.2,84.2,5.2,26.2,24.08521505376344
169,1996-02-01,53.0,11.0,180.2,84.6,5.8,26.5,24.44942528735632
170,1996-03-01,61.8,8.0,129.7,81.0,7.7,27.8,25.12889784946237
171,1996-04-01,55.7,15.0,178.2,85.5,5.4,27.8,25.83888888888889
172,1996-05-01,18.6,15.0,107.5,83.7,7.0,28.5,26.278494623655916
173,1996-06-01,94.3,15.0,265.8,84.3,5.9,28.3,26.14916666666667
174,1996-07-01,55.3,10.0,162.3,81.9,6.7,28.3,25.853763440860217
175,1996-08-01,64.6,18.0,258.4,83.4,5.0,27.4,25.179032258064517
176,1996-09-01,66.5,18.0,297.0,82.2,4.8,27.7,25.317222222222224
177,1996-10-01,45.8,19.0,300.0,83.0,4.3,27.5,25.179973118279573
178,1996-11-01,60.5,16.0,180.2,83.5,4.4,27.3,25.067777777777778
179,1996-12-01,72.4,15.0,185.5,82.9,4.5,26.6,24.34032258064516
180,1997-01-01,13.9,3.0,15.4,77.3,7.7,27.1,23.996774193548386
181,1997-02-01,35.7,8.0,105.4,80.8,4.9,27.4,24.758482142857144
182,1997-03-01,17.4,10.0,34.3,79.6,7.0,28.1,25.227688172043013
183,1997-04-01,44.6,12.0,118.4,82.7,5.6,28.1,25.68263888888889
184,1997-05-01,35.6,6.0,41.6,77.7,6.7,29.3,26.157526881720432
185,1997-06-01,25.0,12.0,78.9,76.7,7.3,29.3,25.96847222222222
186,1997-07-01,5.4,9.0,18.6,76.5,6.5,28.8,25.524327956989247
187,1997-08-01,61.4,9.0,86.6,78.2,5.7,28.8,25.7252688172043
188,1997-09-01,24.3,3.0,31.1,77.0,3.2,28.8,25.580277777777777
189,1997-10-01,36.5,8.0,78.4,81.0,3.2,28.2,25.561693548387098
190,1997-11-01,53.6,13.0,158.3,82.8,5.4,27.8,25.43972222222222
191,1997-12-01,65.8,23.0,351.9,85.3,5.3,27.3,25.358467741935485
192,1998-01-01,79.7,13.0,268.8,83.2,7.4,28.0,25.736424731182797
193,1998-02-01,11.9,5.0,32.5,78.3,8.9,28.9,25.87827380952381
194,1998-03-01,20.9,7.0,58.8,77.8,7.6,29.5,26.263440860215052
195,1998-04-01,64.9,13.0,187.7,81.8,6.7,29.2,26.697222222222223
196,1998-05-01,83.7,18.0,370.8,82.3,5.9,29.4,26.913978494623656
197,1998-06-01,42.8,15.0,198.8,82.1,5.3,28.6,26.106944444444444
198,1998-07-01,55.8,18.0,259.2,81.8,5.1,28.1,25.640860215053763
199,1998-08-01,35.5,18.0,195.0,85.4,4.6,27.5,25.504435483870967
200,1998-09-01,52.0,17.0,258.2,84.1,4.5,27.9,25.755277777777778
201,1998-10-01,32.4,20.0,222.7,82.3,5.0,28.0,25.591397849462364
202,1998-11-01,57.5,11.0,107.2,81.9,4.6,27.9,25.448749999999997
203,1998-12-01,84.4,22.0,463.4,88.5,3.1,26.6,25.08508064516129
204,1999-01-01,52.5,19.0,193.9,88.3,3.9,26.6,25.05483870967742
205,1999-02-01,32.1,9.0,67.4,82.4,6.7,27.2,24.86636904761905
206,1999-03-01,52.4,16.0,181.4,87.5,4.3,27.1,25.45228494623656
207,1999-04-01,29.2,14.0,88.5,82.6,5.8,28.3,25.886805555555554
208,1999-05-01,42.8,13.0,157.1,84.4,5.7,28.0,25.910618279569892
209,1999-06-01,34.5,13.0,103.4,81.9,6.0,28.2,25.735972222222223
210,1999-07-01,51.4,11.0,225.4,82.7,6.8,27.8,25.40255376344086
211,1999-08-01,42.4,13.0,204.0,84.1,5.7,27.5,25.37244623655914
212,1999-09-01,41.5,13.0,125.9,81.7,6.5,27.9,25.40402777777778
213,1999-10-01,32.8,20.0,205.0,84.6,4.7,27.2,25.106182795698924
214,1999-11-01,39.0,19.0,241.5,84.4,4.7,27.3,25.14402777777778
